ulke_adi,il_adi,il_kodu,ilce_adi,ilce_kodu,okul_adi,okul_website,tip
Türkiye,Adana,1,Aladağ,2,Büyüksofulu Ortaokulu,http://sofulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Pınar Madencilik Anadolu Lisesi,http://pmal.meb.k12.tr,Lise
Türkiye,Adana,1,Aladağ,2,Akören Ortaokulu,http://aladagokorenoo.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Boztahta İlkokulu,http://aladagboztahtaioo.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Büyüksofulu İlkokulu,http://sofuluilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Ceritler Necati Özsırkıntı İlkokulu,http://cnozsrknt.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Kızıldam İlkokulu,http://kizildamilkogretim.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Boztahta Ortaokulu,http://aladagboztahtaoo.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Köprücük Mengez İlkokulu,http://koprucukmengez.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Aladağ Öğretmenevi Ve Akşam Sanat Okulu,http://aladagogretmenevi.meb.k12.tr,Sanat Okulu
Türkiye,Adana,1,Aladağ,2,Sinanpaşa Ilkokulu,http://sinanpasaio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Akören İlkokulu,http://akorenioo.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Atatürk İlkokulu,http://aladagataio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Karatepe İlkokulu,http://aladagkaratepe.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Kışlak İlkokulu,http://kislakioo.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Gerdibi Sivişli İlkokulu,http://gerdibisivisli.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Atatürk Ortaokulu,http://aladagataturkoo.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Halk Eğitim Merkezi,http://aladaghem.meb.k12.tr,Halk Eğitim Merkezi
Türkiye,Adana,1,Aladağ,2,Gerdibi Ortaokulu,http://gerdibiortaokulu01.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Akören Çok Programlı Anadolu Lisesi,http://aladagakorencokprogramlilisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Aladağ,2,Köprücük İlkokulu,http://kprckilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Aladağ İmam Hatip Ortaokulu,http://aladagimamhatiportaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Sinanpaşa  Ortaokulu,http://sinanpasaybo.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Gökçeköy İlkokulu,http://gokcekoyilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Kökez İlkokulu,http://kokezilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Başpınar Halil Yüksek İlkokulu,http://halilyuksekioo.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Kökez Ortaokulu,http://kokezortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Yetimli İlkokulu,http://aladagyetimli01.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Topallı İlkokulu,http://aladagtopalliio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Dölekli İlkokulu,http://dolekliilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Dölekli Ortaokulu,http://dolekliortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Şehit Arif Mamış İlkokulu,http://sehitarifmamisilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Kıcak Ortaokulu,http://kicakortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Akören Ortaokulu,http://aladagakorenortaokul.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Aladağ,2,Gerdibi İlkokulu,http://gerdibiilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Aladağ,2,Aladağ Sinanpaşa Anadolu İmam Hatip Lisesi,http://sinanpasaaihl.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Aladağ,2,Posyağbasan İlkokulu,http://posyagbasanilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Merkez,98,İl Milli Eğitim Müdürlüğü,http://adana.meb.k12.tr,Milli Eğitim Müdürlüğü
Türkiye,Adana,1,Ceyhan,4,Arif-hasan Bilici İmam Hatip Ortaokulu,http://arifhasanbiliciiho.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Atatürk İlkokulu,http://ceyhanataturkilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Anadolu İmam Hatip Lisesi,http://ceyhananadoluimamhatip.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Ceyhan Biliciler Mesleki Ve Teknik Anadolu Lisesi,http://ceyhanbilicileraotml.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Ceyhan Mesleki Ve Teknik Anadolu Lisesi,http://ceyhaneml.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Ceyhan Ticaret Borsası Sosyal Bilimler Lisesi,http://ceyhansbl.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Dokuztekne Şehit Adem Çoban  İlkokulu,http://dokuzteknesehitademcobanilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Dokuztekne Şehit Adem Çoban Ortaokulu,http://dokuztekneortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Eczacı Bahattin-sevinç Erdinç Fen Lisesi,http://ceyhanfenlisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Gümüşdere İlkokulu,http://ceyhangumusdere.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Halil Çiftçi Anadolu Lisesi,http://halilciftcial.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Halk Eğitim Merkezi,http://ceyhanhem.meb.k12.tr,Halk Eğitim Merkezi
Türkiye,Adana,1,Ceyhan,4,Hamidiye Anaokulu,http://ceyhanhamidiyeanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Yarsuvat Mesleki Ve Teknik Anadolu Lisesi,http://yarsuvatmtal.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Kösreli Lisesi,http://kosrelilisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Mesleki Eğitim Merkezi,http://ceyhanmem.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Ceyhan,4,Mustafabeyli Mesleki Ve Teknik Anadolu Lisesi,http://mustafabeylimtal.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Şaban Üçgül Ve Kardeşleri Mesleki Ve Teknik Anadolu Lisesi,http://ceyhansaglikmesleklisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Sarısakal İlkokulu,http://sarisakal.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Yeşildam İlkokulu,http://yesildamilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Yeşildam Çok Programlı Lisesi,http://yesildamlisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Soysallı İlkokulu,http://soysallilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Mehmetçik İlkokulu,http://ceyhanmehmetcikio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Altı Ocak  Mesleki Ve Teknik Anadolu Lisesi,http://ceyhantml.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Çataklı Tatarlı Bakırlı İlkokulu,http://731786.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Toros Tarım Anadolu Lisesi,http://torosgubreanadolulisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Gaziosmanpaşa İlkokulu,http://ceyhangaziosmanpasailkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,60.yıl Manas İlkokulu,http://60yilmanasilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Çakabey Mesleki Ve Teknik Anadolu Lisesi,http://ceyhancakabeymesleklisesi.meb.k12.tr,Meslek Lisesi
Türkiye,Adana,1,Ceyhan,4,Arif Nihat Asya Ortaokulu,http://ceyhanarifnihatasyaortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Sağkaya Lisesi,http://sagkayalisesi.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Sağkaya Ortaokulu,http://sagkaya.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Toros Tarım İlkokulu,http://731717.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Kaymakam Gürbüz Karakuş Ortaokulu,http://kaymakamgurbuzkarakusortaokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,İhsan Demirtaş İlkokulu,http://ihsandemirtasilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Birkent Ortaokulu,http://birkentilkogretimokulu.meb.k12.tr,Ortaokul
Türkiye,Adana,1,Ceyhan,4,Sarısakal Anaokulu,http://ceyhansarisakalanaokulu.meb.k12.tr,Anaokulu
Türkiye,Adana,1,Ceyhan,4,Doruk Merkez İlkokulu,http://dorukmerkezilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Hamdilli İlkokulu,http://hamdilliilkokulu.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Ayşe Malaz İlkokulu,http://aysemalazio.meb.k12.tr,İlkokul
Türkiye,Adana,1,Ceyhan,4,Mercimek Köy Hizmetleri Çok Programlı Anadolu Lisesi,http://mercimekcpl.meb.k12.tr,Lise
Türkiye,Adana,1,Ceyhan,4,Doruk Çok Programlı Anadolu Lisesi,http://dorukcpl.meb.k12.tr,Meslek Lisesi
